middle_gold,late_gold
1.34,-1.39
31.97,40.66
-2.07,-2.25
-9.21,-15.87
-14.18,-5.13
-3.02,10.39
17.21,20.34
4.39,-12.17
-26.05,-18.82
-12.22,-17.78
1.27,15.62
8.91,11.31
-11.05,-36.22
-5.91,-5.12
-16.56,0.3
3.82,-20.1
9.2,-3.31
-10.5,-16.31
-0.42,15.87
-18.54,-4.8
-10.85,10.26
-7.26,-7.82
-8.82,-1.5
-15.74,-27.94
1.21,-5.39
4.02,2.85
4.58,4.06
1.69,4.35
16.06,8.77
-12.68,-23.45
0.95,22.98
10.89,11.44
14.38,17.49
4.25,-2.15
-10.51,2.41
-14.86,-15.05
-5.57,8.44
6.27,12.07
-8.82,-20.11
1.37,-6.67
6.41,1.32
1.5,16.94
6.01,6.16
-10.57,-4.68
6.01,13.6
17.01,31.55
-9.53,-1.11
3.33,5.78
11.28,23.4
28.98,39.18
5.84,0.67
-16.61,-12.63
17.91,21.13
-11.69,-34.18
-2.56,9.76
-16.03,-7.03
1.5,-23.37
-26.34,-23.45
26.82,17.86
4.4,2.13
14.07,15.83
-1.17,33.21
-7.14,-11.27
0.31,23.62
-12.67,-14.16
14.71,4.84
-17.31,-11.05
14.99,29.26
2.07,3.84
-33.3,-18.1
2.47,16.49
2.41,9.91
-5.55,-7.28
-5.67,-16.26
6.89,-7.64
7.52,42.71
5.31,17.02
3.12,20.07
8.2,17.53
18.98,47.38
-27.23,-15.58
9.19,-11.59
11.83,23.2
1.3,-26.21
-5.66,-10.79
-7.29,3.54
-4.99,-10.77
-3.82,-24.54
-20.94,-6.39
-8.41,1.64
10.24,16.09
4.36,3.18
19.89,30.11
-2.85,-20.22
14.19,18.24
-13.71,-20.32
18.48,12.95
4.16,-17.85
-0.7,14.18
-10.83,14.2
-0.84,9.53
-7.28,-22.78
-9.27,9.78
-7.38,6.89
-5.78,5.07
-14.21,-12.19
-5.87,-19.01
4.53,3.36
-34.17,-43.28
-9.87,-16.82
6.1,-0.97
1.67,2.16
1.61,7.46
-14.27,-22.36
2.2,-11.61
-6.61,23.03
-16.15,-35.98
3.45,1.36
10.62,17.85
2.28,-13.09
-3.04,-10.09
3.18,16.17
-0.01,18.73
4.69,-14.19
5.65,18.74
-13.78,-27.56
-26.58,-36.76
11.42,18.61
12.99,17.01
-8.87,-16.33
14.61,9.82
-2.59,7.94
0.64,11.36
-11.94,-27.81
-3.03,19.85
3.88,-2.75
9.46,35.03
6.45,26.92
-12.77,-24.26
-4.21,9.03
7.74,-12.47
-4.88,4.72
7.24,13.06
-0.11,-21.31
7.14,-7.32
-14.22,-13.76
3.35,-12.41
-8.0,-3.23
-6.69,-18.15
-3.87,-4.83
-1.2,2.5
23.41,9.01
11.74,4.83
-7.17,-11.16
-6.39,-30.71
17.99,14.32
-3.98,14.49
-9.51,5.91
13.27,10.97
16.63,37.67
10.56,-3.02
-3.54,-6.59
33.78,25.92
-2.38,-13.22
31.78,35.45
7.71,26.98
4.36,14.17
8.88,-0.29
-6.38,15.44
-3.11,13.19
6.26,1.31
2.31,6.72
-6.19,5.06
13.2,8.73
-19.53,-32.11
-22.21,-26.04
5.82,25.96
0.74,-0.76
