Champion,AD_p,AP_p,TD_p,avg_dpm,tank_death,tank_time,deal_death,deal_time,tank_death_norm,tank_time_norm,tank_norm_total,deal_death_norm,deal_time_norm,deal_norm_total
alistar_support,16.3746,110.1564,22.329,148.86,4439.55198,648.0589,1010.4884,148.86,0.7788922054720285,0.9572673391685276,1.736159544640556,0.22599432917713913,0.29439776282809,0.5203920920052292
corki,517.7894,154.564,100.4666,772.82,5208.16871,573.2559,7072.6031,772.82,0.9137413034642089,0.846773572673193,1.7605148761374019,1.5817778740662978,1.528392308671265,3.110170182737563
ezreal,542.802,267.2256,25.0524,835.08,5966.55611,533.6103,9364.2328,835.08,1.046795728155999,0.7882118616593643,1.8350075898153633,2.094297678127293,1.6515227984850287,3.7458204766123218
jax,270.3584,239.1632,10.3984,519.92,7236.56401,891.9385,4194.1774,519.92,1.2696108362241558,1.3175092489231577,2.5871200851473137,0.9380219584538699,1.0282364963696125,1.9662584548234823
ksante,353.0305,41.533,20.7665,415.33,8381.69824,910.96,3802.519,415.33,1.470517623662246,1.3456064800421101,2.816124103704356,0.8504281004990516,0.821390721721017,1.6718188222200685
maokai,30.1518,422.1252,50.253,502.53,7541.75391,865.6645,4436.0696,502.53,1.3231545350860368,1.2786991314024911,2.6018536664885277,0.9921208134948406,0.9938446040171977,1.9859654175120383
rell_support,27.2544,115.8312,27.2544,170.34,3437.92168,528.4854,1101.8931,170.34,0.603162303682567,0.780641717361516,1.383804021044083,0.24643686355965916,0.3368783751184794,0.5833152386781386
ryze,31.121,591.299,6.2242,622.42,6099.11598,709.6757,5367.4509,622.42,1.0700525455030019,1.0482833721002245,2.1183359176032264,1.2004229494734742,1.2309489153530817,2.4313718648265557
varus,610.6068,154.584,15.4584,772.92,4087.25481,446.6682,7167.8582,772.92,0.7170838245905743,0.6597870645788457,1.3768708891694201,1.603081545068559,1.5285900768849072,3.1316716219534664
wukong,337.4812,35.3178,23.5452,392.42,6499.29424,778.2149,3289.4876,392.42,1.1402613703838762,1.1495246907716286,2.289786061155505,0.735689339430831,0.7760820239755413,1.5117713634063723
annie,46.0404,605.1024,6.5772,657.72,3810.05687,477.058,5243.1967,657.72,0.6684511436778252,0.7046767543645484,1.3731278980423736,1.1726336699761122,1.3007610947688522,2.473394764744964
jhin,603.2166,32.431,12.9724,648.62,5227.73173,460.557,7456.7012,648.62,0.9171735155122124,0.6803026297847921,1.5974761452970045,1.6676808814117692,1.282764187327393,2.950445068739162
lucian,607.448,129.0827,22.7793,759.31,4800.42946,553.9953,6616.0986,759.31,0.8422059491940669,0.8183231597357435,1.6605291089298104,1.4796812757838778,1.5016738230081752,2.981355098792053
nami_support,22.8285,223.212,7.6095,253.65,3374.30645,389.2245,2204.0699,253.65,0.5920014011817001,0.5749352434696916,1.1669366446513916,0.49293717623084454,0.5016390739039703,0.9945762501348149
nautilus_support,42.3361,114.1234,27.6105,184.07,3073.11471,517.0342,1090.4084,184.07,0.5391591550056438,0.7637268046054585,1.3028859596111024,0.24386832633320443,0.36403195085158213,0.6079002771847866
orianna,41.6718,645.9129,6.9453,694.53,4820.69797,508.5112,6593.1654,694.53,0.8457619351418948,0.7511372243501245,1.5968991594920192,1.4745522974107612,1.3735595742106228,2.8481118716213842
ornn,142.6755,285.351,8.647,432.35,7946.29449,895.5429,3835.822,432.35,1.3941287022944888,1.322833416830271,2.7169621191247595,0.8578762702599181,0.8550508716829551,1.712927141942873
pantheon,443.754,24.93,29.916,498.6,6093.11195,843.773,3610.9515,498.6,1.0689991752103492,1.2463625367574553,2.3153617119678045,0.8075842948159369,0.986072313221051,1.7936566080369878
rumble,20.6355,660.336,6.8785,687.85,5123.42477,621.5798,5696.5928,687.85,0.8988734981936893,0.9181542622544117,1.8170277604481009,1.2740350789096844,1.36034865753931,2.6343837364489944
trundle,288.6268,67.4712,22.4904,374.84,8213.75085,954.5147,3189.8005,374.84,1.4410522826571903,1.4099424405192882,2.8509947231764787,0.7133944577754707,0.7413143720172056,1.4547088297926765
akali,31.1545,567.0119,31.1545,623.09,6151.78195,728.3162,5251.9737,623.09,1.0792924673940896,1.0758178166326133,2.155110284026703,1.1745966338529736,1.232273962384486,2.40687059623746
ashe,574.112,58.716,19.572,652.4,4184.14087,481.7518,5689.7579,652.4,0.7340818904523677,0.711610107855395,1.4456919983077627,1.272506463004254,1.290239825803076,2.56274628880733
