Champion,Gold_Data
jayce,"[2.18, 108.59, 312.88, 364.68, 348.99, 326.5, 368.38, 374.56, 347.79, 390.04, 387.69, 365.54, 425.43, 415.81, 377.89, 429.28, 432.35, 407.09, 421.24, 441.97, 413.73, 438.23, 469.68, 423.86, 409.89, 494.06, 499.62, 463.16, 479.25, 461.28]"
leona,"[0.82, 58.75, 195.41, 209.5, 202.14, 198.29, 225.74, 214.23, 243.23, 228.13, 243.85, 262.12, 250.02, 249.21, 240.3, 256.2, 239.49, 235.67, 223.32, 211.99, 218.83, 239.08, 235.09, 233.11, 230.86, 256.0, 269.07, 268.58, 256.19, 239.26]"
lillia,"[0.98, 134.13, 400.5, 397.43, 315.13, 309.28, 302.26, 368.59, 371.7, 370.2, 345.46, 324.5, 384.35, 396.96, 402.7, 414.61, 381.7, 379.33, 394.57, 388.7, 373.83, 335.28, 390.0, 332.61, 425.0, 382.78, 421.13, 430.51, 426.12, 382.97]"
senna,"[1.25, 95.18, 311.98, 364.05, 317.16, 315.92, 356.05, 333.28, 352.15, 378.51, 369.92, 352.02, 426.93, 408.79, 349.72, 451.46, 401.31, 440.15, 438.31, 447.74, 421.08, 445.82, 431.33, 412.0, 449.31, 496.83, 437.02, 460.93, 471.98, 502.91]"
yone,"[0.52, 115.1, 304.4, 359.7, 372.89, 299.91, 371.17, 369.91, 327.42, 387.97, 410.77, 359.38, 408.79, 411.77, 361.83, 442.81, 466.14, 454.19, 448.38, 449.78, 410.19, 459.68, 434.32, 474.76, 407.05, 472.75, 550.92, 557.56, 547.79, 538.48]"
ziggs,"[0.8, 102.22, 321.75, 368.05, 341.84, 312.89, 373.8, 362.25, 381.98, 401.89, 435.6, 374.25, 406.53, 454.45, 354.07, 476.91, 436.87, 458.56, 442.71, 426.53, 425.76, 410.67, 442.82, 420.6, 443.33, 456.22, 532.04, 472.11, 411.0, 466.13]"
ambessa,"[1.34, 91.87, 289.47, 337.34, 324.01, 300.71, 354.0, 331.87, 339.36, 357.61, 341.73, 359.82, 414.69, 395.43, 326.46, 395.77, 408.81, 404.35, 398.53, 405.9, 420.54, 421.02, 408.61, 405.22, 409.27, 413.75, 467.0, 499.14, 421.49, 472.76]"
tristana,"[6.4, 122.14, 307.46, 351.38, 365.62, 323.68, 373.68, 368.74, 341.06, 378.72, 409.28, 377.56, 454.34, 465.06, 361.1, 497.72, 476.84, 432.7, 504.08, 420.4, 413.32, 449.84, 458.28, 494.58, 524.39, 538.66, 518.35, 516.78, 497.43, 605.51]"
aurora,"[0.33, 126.95, 312.62, 359.98, 342.1, 311.55, 373.25, 347.84, 342.75, 381.51, 382.82, 368.62, 404.19, 390.33, 362.84, 417.71, 414.73, 406.66, 427.01, 411.89, 419.31, 421.03, 378.18, 398.01, 404.78, 441.5, 467.38, 493.49, 419.26, 484.69]"
caitlyn,"[0.75, 117.21, 347.7, 386.26, 366.3, 302.11, 421.39, 384.88, 361.75, 392.79, 439.49, 400.75, 413.86, 465.21, 374.25, 465.95, 432.09, 443.6, 480.32, 434.75, 413.33, 448.05, 438.61, 492.3, 480.23, 562.29, 439.8, 591.96, 511.77, 552.79]"
karma,"[1.81, 70.14, 220.78, 213.79, 223.31, 215.48, 239.72, 223.69, 250.16, 239.16, 277.4, 277.45, 265.66, 238.9, 221.83, 239.93, 215.66, 222.53, 252.38, 214.84, 235.19, 222.72, 231.83, 246.41, 236.81, 251.33, 248.13, 287.67, 280.08, 228.51]"
miss fortune,"[0.04, 108.16, 330.37, 352.52, 330.96, 317.48, 401.54, 355.7, 372.05, 401.13, 403.8, 387.25, 450.04, 490.4, 402.45, 466.66, 474.19, 472.17, 492.62, 446.54, 459.18, 479.9, 487.24, 466.87, 489.01, 516.01, 590.12, 536.69, 558.5, 504.53]"
viktor,"[0.28, 138.08, 308.51, 356.91, 353.47, 314.25, 376.22, 368.55, 339.94, 394.13, 394.69, 375.28, 407.69, 409.6, 354.19, 407.08, 421.56, 431.85, 408.03, 410.21, 403.1, 413.94, 419.67, 429.55, 415.26, 443.92, 453.62, 458.13, 409.71, 452.3]"
